,Name,URL
0,Eric Amaechi,https://pureportal.coventry.ac.uk/en/persons/eric-amaechi
0,Ambi Ambituuni,https://pureportal.coventry.ac.uk/en/persons/ambi-ambituuni
0,Misbah Ameen-Khan,https://pureportal.coventry.ac.uk/en/persons/misbah-ameen-khan-2
0,Kofi Amegashie,https://pureportal.coventry.ac.uk/en/persons/kofi-amegashie
0,Taz Amietszajew,https://pureportal.coventry.ac.uk/en/persons/taz-amietszajew
0,Shohel Amin,https://pureportal.coventry.ac.uk/en/persons/shohel-amin
0,Sam Amiri,https://pureportal.coventry.ac.uk/en/persons/sam-amiri
0,Isaac Amoako,https://pureportal.coventry.ac.uk/en/persons/isaac-amoako
0,Christabell Amoakoh,https://pureportal.coventry.ac.uk/en/persons/christabell-amoakoh
0,Daniel Amund,https://pureportal.coventry.ac.uk/en/persons/daniel-amund
0,Jessica An,https://pureportal.coventry.ac.uk/en/persons/xiaojue-an
0,Sunil Anandatheertha,https://pureportal.coventry.ac.uk/en/persons/sunil-anandatheertha
0,Rachid Anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane
0,Colin Anderson,https://pureportal.coventry.ac.uk/en/persons/colin-anderson
0,Daniel Anderson,https://pureportal.coventry.ac.uk/en/persons/daniel-anderson-2
0,Hannah Andrews,https://pureportal.coventry.ac.uk/en/persons/hannah-andrews
0,Panagiotis Andrikopoulos,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos
0,Christopher Aniche,https://pureportal.coventry.ac.uk/en/persons/christopher-aniche
0,Babatunde Anifowose,https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose
0,Sara Anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi
0,Nancy Annan,https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2
0,Ihechiluru Fortune Chinatu Anya,https://pureportal.coventry.ac.uk/en/persons/ihechiluru-fortune-chinatu-anya
0,Evangelos Symeon Apostolopoulos,https://pureportal.coventry.ac.uk/en/persons/evangelos-symeon-apostolopoulos
0,Lindsey Appleyard,https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard
0,Ana Carolina Araujo Lascano,https://pureportal.coventry.ac.uk/en/persons/ana-carolina-araujo-lascano
0,Oussama Arbouche,https://pureportal.coventry.ac.uk/en/persons/oussama-arbouche
0,Deji Aremu,https://pureportal.coventry.ac.uk/en/persons/deji-aremu
0,Balaji Aresh,https://pureportal.coventry.ac.uk/en/persons/balaji-aresh
0,Kiev Ariza,https://pureportal.coventry.ac.uk/en/persons/kiev-ariza
0,Anthony Armstrong,https://pureportal.coventry.ac.uk/en/persons/anthony-armstrong
0,Sylvester Arnab,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab
0,Sara Arouch,https://pureportal.coventry.ac.uk/en/persons/sara-arouch
0,Vipavinee Artpradid,https://pureportal.coventry.ac.uk/en/persons/vipavinee-artpradid
0,John Arvanitakis,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis
0,Ken Asare,https://pureportal.coventry.ac.uk/en/persons/ken-asare
0,Mike Ashford,https://pureportal.coventry.ac.uk/en/persons/mike-ashford
0,Folajimi Ashiru,https://pureportal.coventry.ac.uk/en/persons/folajimi-ashiru
0,Craig Ashley,https://pureportal.coventry.ac.uk/en/persons/craig-ashley
0,Patricia Ashman,https://pureportal.coventry.ac.uk/en/persons/patricia-ashman
0,Rjaa Jawad Ashraf,https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf
0,Farzana Aslam,https://pureportal.coventry.ac.uk/en/persons/farzana-aslam
0,Hussan Aslam,https://pureportal.coventry.ac.uk/en/persons/hussan-aslam
0,Muhammad Adnan Aslam,https://pureportal.coventry.ac.uk/en/persons/muhammad-adnan-aslam
0,Uzzi Aslam,https://pureportal.coventry.ac.uk/en/persons/uzzi-aslam
0,Mujahid Asmal-Lee,https://pureportal.coventry.ac.uk/en/persons/mujahid-asmal-lee
0,Richard Aspinall,https://pureportal.coventry.ac.uk/en/persons/richard-aspinall
0,Taufiq Asyhari,https://pureportal.coventry.ac.uk/en/persons/taufiq-asyhari
0,Christopher Atkin,https://pureportal.coventry.ac.uk/en/persons/christopher-atkin
0,Lauren Atkins,https://pureportal.coventry.ac.uk/en/persons/lauren-atkins
0,Samantha Atkins,https://pureportal.coventry.ac.uk/en/persons/samantha-atkins
0,Nina Atkinson,https://pureportal.coventry.ac.uk/en/persons/nina-atkinson
0,Shalika Atlas,https://pureportal.coventry.ac.uk/en/persons/shalika-atlas
0,Vani Aul,https://pureportal.coventry.ac.uk/en/persons/vani-aul
0,Randhir Auluck,https://pureportal.coventry.ac.uk/en/persons/randhir-auluck
0,Kristin Aune,https://pureportal.coventry.ac.uk/en/persons/kristin-aune
0,Elicia Austin,https://pureportal.coventry.ac.uk/en/persons/elicia-austin
0,Stephen Austin,https://pureportal.coventry.ac.uk/en/persons/stephen-austin
0,Melissa Avdeeff,https://pureportal.coventry.ac.uk/en/persons/melissa-avdeeff
0,Simone Salvatore Aveni,https://pureportal.coventry.ac.uk/en/persons/simone-salvatore-aveni
0,Kenny Awuson - David,https://pureportal.coventry.ac.uk/en/persons/kenny-awuson-david
0,Mark Axon,https://pureportal.coventry.ac.uk/en/persons/mark-axon
0,Haseeb Ayaz,https://pureportal.coventry.ac.uk/en/persons/haseeb-ayaz
0,Rami Ayoubi,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi
0,Rana Aytug,https://pureportal.coventry.ac.uk/en/persons/rana-aytug
0,Hoor Ayub,https://pureportal.coventry.ac.uk/en/persons/hoor-ayub
0,Evronia Azer,https://pureportal.coventry.ac.uk/en/persons/evronia-azer
0,Farzaneh Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei
0,Maryam Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei
0,Zaneta Azuma,https://pureportal.coventry.ac.uk/en/persons/zaneta-azuma
0,Gbolahan Olusegun Babalola,https://pureportal.coventry.ac.uk/en/persons/gbolahan-olusegun-babalola
0,Abiola Babatunde,https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde
0,Rachel Backhouse,https://pureportal.coventry.ac.uk/en/persons/rachel-backhouse
0,Simon Baddeley,https://pureportal.coventry.ac.uk/en/persons/simon-baddeley
0,Echekwumemchukwu Emmanuel Badifu,https://pureportal.coventry.ac.uk/en/persons/echekwumemchukwu-emmanuel-badifu
0,Meghdad Bagheri,https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri
0,Nim Bahia,https://pureportal.coventry.ac.uk/en/persons/nim-bahia
0,Witold Bahr,https://pureportal.coventry.ac.uk/en/persons/witold-bahr
0,Mingwen Bai,https://pureportal.coventry.ac.uk/en/persons/mingwen-bai
0,Anthony Bailey,https://pureportal.coventry.ac.uk/en/persons/anthony-bailey
0,Elizabeth Bailey,https://pureportal.coventry.ac.uk/en/persons/elizabeth-bailey
0,Katrin Bain,https://pureportal.coventry.ac.uk/en/persons/katrin-bain
0,Narinder Bains,https://pureportal.coventry.ac.uk/en/persons/narinder-bains
0,Adam Baird,https://pureportal.coventry.ac.uk/en/persons/adam-baird
0,Lyndsey Baird,https://pureportal.coventry.ac.uk/en/persons/lyndsey-baird
0,Stuart Baird,https://pureportal.coventry.ac.uk/en/persons/stuart-baird
0,Katie Baker,https://pureportal.coventry.ac.uk/en/persons/katie-baker
0,Ali Alperen Bakir,https://pureportal.coventry.ac.uk/en/persons/ali-alperen-bakir
0,Senthooran Balasubramaniam,https://pureportal.coventry.ac.uk/en/persons/senthooran-balasubramaniam
0,Ken Baldwin,https://pureportal.coventry.ac.uk/en/persons/ken-baldwin
0,Laurence Baldwin,https://pureportal.coventry.ac.uk/en/persons/laurence-baldwin
0,Lindsay Balfour,https://pureportal.coventry.ac.uk/en/persons/lindsay-balfour
0,Jane Ball,https://pureportal.coventry.ac.uk/en/persons/jane-ball
0,Kirstie Ball,https://pureportal.coventry.ac.uk/en/persons/kirstie-ball-2
0,Brandon Ballard,https://pureportal.coventry.ac.uk/en/persons/brandon-ballard
0,Daniel Babalola Bammeke,https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke
0,Mahsa Baniasadi,https://pureportal.coventry.ac.uk/en/persons/mahsa-baniasadi-2
0,Shadi Ismail Mohammad Bani Hani,https://pureportal.coventry.ac.uk/en/persons/shadi-ismail-mohammad-bani-hani
0,Frano Barbic,https://pureportal.coventry.ac.uk/en/persons/frano-barbic
0,Vicky Barclay,https://pureportal.coventry.ac.uk/en/persons/vicky-barclay-2
0,Victoria Barker,https://pureportal.coventry.ac.uk/en/persons/victoria-barker-2
0,Jacoba Magdelena Barnard,https://pureportal.coventry.ac.uk/en/persons/jacoba-magdelena-barnard
0,Jennifer Barnes-Hill,https://pureportal.coventry.ac.uk/en/persons/jennifer-barnes-hill
0,Kate Barnett-Richards,https://pureportal.coventry.ac.uk/en/persons/kate-barnett-richards-2
0,Hazel Barrett,https://pureportal.coventry.ac.uk/en/persons/hazel-barrett
0,Lorraine Barron,https://pureportal.coventry.ac.uk/en/persons/lorraine-barron
0,Craig Bartle,https://pureportal.coventry.ac.uk/en/persons/craig-bartle
0,James Bartlett,https://pureportal.coventry.ac.uk/en/persons/james-bartlett
0,Bahar Baser Ozturk,https://pureportal.coventry.ac.uk/en/persons/bahar-baser-ozturk
0,Mahdi Bashiri,https://pureportal.coventry.ac.uk/en/persons/mahdi-bashiri
0,Simran Basi,https://pureportal.coventry.ac.uk/en/persons/simran-basi
0,Muhammad Lahandi Baskoro,https://pureportal.coventry.ac.uk/en/persons/muhammad-lahandi-baskoro
0,Tom Bason,https://pureportal.coventry.ac.uk/en/persons/tom-bason
0,Tina Bass,https://pureportal.coventry.ac.uk/en/persons/tina-bass
0,Enobong Bassey,https://pureportal.coventry.ac.uk/en/persons/enobong-bassey
0,Christophe Bastien,https://pureportal.coventry.ac.uk/en/persons/christophe-bastien
0,Richard Bateman,https://pureportal.coventry.ac.uk/en/persons/richard-bateman
0,Ian Bates,https://pureportal.coventry.ac.uk/en/persons/ian-bates
0,Felix Batsch,https://pureportal.coventry.ac.uk/en/persons/felix-batsch
0,Jhonny Ismael Bautista Quispe,https://pureportal.coventry.ac.uk/en/persons/jhonny-ismael-bautista-quispe
0,Balki Begumhan Bayhan,https://pureportal.coventry.ac.uk/en/persons/balki-begumhan-bayhan
0,Imogen Baylis,https://pureportal.coventry.ac.uk/en/persons/imogen-baylis
0,Lisa Bayliss-Pratt,https://pureportal.coventry.ac.uk/en/persons/lisa-bayliss-pratt
0,Amr Bayoumy,https://pureportal.coventry.ac.uk/en/persons/amr-bayoumy
0,Marcus Beale,https://pureportal.coventry.ac.uk/en/persons/marcus-beale
0,David Beauchamp,https://pureportal.coventry.ac.uk/en/persons/david-beauchamp
0,Jayne Beaufoy,https://pureportal.coventry.ac.uk/en/persons/jayne-beaufoy-2
0,Martin Beck,https://pureportal.coventry.ac.uk/en/persons/martin-beck
0,Rebecca Beech,https://pureportal.coventry.ac.uk/en/persons/rebecca-beech-3
0,Nik Beer,https://pureportal.coventry.ac.uk/en/persons/nik-beer
0,Ty Beetseh,https://pureportal.coventry.ac.uk/en/persons/ty-beetseh
