,Name,profile_URL,publications_url
0,Taher Mabkhut Ali Al Junaibi,https://pureportal.coventry.ac.uk/en/persons/taher-mabkhut-ali-al-junaibi,https://pureportal.coventry.ac.uk/en/persons/taher-mabkhut-ali-al-junaibi/publications/
0,Hajar Al-Kaddo,https://pureportal.coventry.ac.uk/en/persons/hajar-al-kaddo,https://pureportal.coventry.ac.uk/en/persons/hajar-al-kaddo/publications/
0,Mabel Alkali,https://pureportal.coventry.ac.uk/en/persons/mabel-alkali,https://pureportal.coventry.ac.uk/en/persons/mabel-alkali/publications/
0,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/persons/khaled-al-khudir,https://pureportal.coventry.ac.uk/en/persons/khaled-al-khudir/publications/
0,Amira Iqbal Ali Al Lawati,https://pureportal.coventry.ac.uk/en/persons/amira-iqbal-ali-al-lawati,https://pureportal.coventry.ac.uk/en/persons/amira-iqbal-ali-al-lawati/publications/
0,John Allen,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/persons/john-allen/publications/
0,Laura Allen,https://pureportal.coventry.ac.uk/en/persons/laura-allen-2,https://pureportal.coventry.ac.uk/en/persons/laura-allen-2/publications/
0,Ashraf Al Mamari,https://pureportal.coventry.ac.uk/en/persons/ashraf-al-mamari,https://pureportal.coventry.ac.uk/en/persons/ashraf-al-mamari/publications/
0,Sayeda Mubarak Ali Mubarak Almansoori,https://pureportal.coventry.ac.uk/en/persons/sayeda-mubarak-ali-mubarak-almansoori,https://pureportal.coventry.ac.uk/en/persons/sayeda-mubarak-ali-mubarak-almansoori/publications/
0,Khulood Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/khulood-almarzooqi,https://pureportal.coventry.ac.uk/en/persons/khulood-almarzooqi/publications/
0,Suhaib Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/suhaib-almarzooqi,https://pureportal.coventry.ac.uk/en/persons/suhaib-almarzooqi/publications/
0,Bader Mohammed Saif Mohammed Almentheri,https://pureportal.coventry.ac.uk/en/persons/bader-mohammed-saif-mohammed-almentheri,https://pureportal.coventry.ac.uk/en/persons/bader-mohammed-saif-mohammed-almentheri/publications/
0,Abdulla Rashed Sultan Bin Qaba Almheiri,https://pureportal.coventry.ac.uk/en/persons/abdulla-rashed-sultan-bin-qaba-almheiri,https://pureportal.coventry.ac.uk/en/persons/abdulla-rashed-sultan-bin-qaba-almheiri/publications/
0,Tariq Al Montaser,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser/publications/
0,Eman Abdulla Abdulrahman Abdulrahim Almulla,https://pureportal.coventry.ac.uk/en/persons/eman-abdulla-abdulrahman-abdulrahim-almulla,https://pureportal.coventry.ac.uk/en/persons/eman-abdulla-abdulrahman-abdulrahim-almulla/publications/
0,Khaled Nagi Hussin Alosaimi,https://pureportal.coventry.ac.uk/en/persons/khaled-nagi-hussin-alosaimi,https://pureportal.coventry.ac.uk/en/persons/khaled-nagi-hussin-alosaimi/publications/
0,Mansour Qubeissi,https://pureportal.coventry.ac.uk/en/persons/m-al-qubeissi,https://pureportal.coventry.ac.uk/en/persons/m-al-qubeissi/publications/
0,Yahya Mohammed Zahran Al Rawahi,https://pureportal.coventry.ac.uk/en/persons/yahya-mohammed-zahran-al-rawahi,https://pureportal.coventry.ac.uk/en/persons/yahya-mohammed-zahran-al-rawahi/publications/
0,Mohammad A M A H A A Alrefae,https://pureportal.coventry.ac.uk/en/persons/mohammad-a-m-a-h-a-a-alrefae,https://pureportal.coventry.ac.uk/en/persons/mohammad-a-m-a-h-a-a-alrefae/publications/
